Provincias;Edad (grupos quinquenales);Sexo;Españoles/Extranjeros;Año;Total
33  Asturias;30-34 años;Mujeres;TOTAL;2020;24.552
33  Asturias;35-39 años;Hombres;TOTAL;2020;32.263
33  Asturias;35-39 años;Mujeres;TOTAL;2020;32.742
33  Asturias;40-44 años;Hombres;TOTAL;2020;41.735
33  Asturias;40-44 años;Mujeres;TOTAL;2020;41.689
33  Asturias;45-49 años;Hombres;TOTAL;2020;41.456
33  Asturias;45-49 años;Mujeres;TOTAL;2020;42.113
33  Asturias;50-54 años;Hombres;TOTAL;2020;39.639
33  Asturias;50-54 años;Mujeres;TOTAL;2020;40.930
33  Asturias;55-59 años;Hombres;TOTAL;2020;39.724
33  Asturias;55-59 años;Mujeres;TOTAL;2020;42.352
33  Asturias;60-64 años;Hombres;TOTAL;2020;37.993
33  Asturias;60-64 años;Mujeres;TOTAL;2020;42.167
33  Asturias;65-69 años;Hombres;TOTAL;2020;32.732
33  Asturias;65-69 años;Mujeres;TOTAL;2020;36.760
33  Asturias;70-74 años;Hombres;TOTAL;2020;28.590
33  Asturias;70-74 años;Mujeres;TOTAL;2020;34.940
33  Asturias;75-79 años;Hombres;TOTAL;2020;19.858
33  Asturias;75-79 años;Mujeres;TOTAL;2020;25.861
33  Asturias;80-84 años;Hombres;TOTAL;2020;14.134
33  Asturias;80-84 años;Mujeres;TOTAL;2020;22.525
33  Asturias;85-89 años;Hombres;TOTAL;2020;11.204
33  Asturias;85-89 años;Mujeres;TOTAL;2020;21.086
33  Asturias;90-94 años;Hombres;TOTAL;2020;4.009
33  Asturias;90-94 años;Mujeres;TOTAL;2020;10.492
33  Asturias;95-99 años;Hombres;TOTAL;2020;817
33  Asturias;95-99 años;Mujeres;TOTAL;2020;2.997
33  Asturias;100 años y más;Hombres;TOTAL;2020;118
33  Asturias;100 años y más;Mujeres;TOTAL;2020;444
05  Ávila;0-4 años;Hombres;TOTAL;2020;2.621
05  Ávila;0-4 años;Mujeres;TOTAL;2020;2.540
05  Ávila;5-9 años;Hombres;TOTAL;2020;3.403
05  Ávila;5-9 años;Mujeres;TOTAL;2020;2.990
05  Ávila;10-14 años;Hombres;TOTAL;2020;3.715
05  Ávila;10-14 años;Mujeres;TOTAL;2020;3.520
05  Ávila;15-19 años;Hombres;TOTAL;2020;3.592
05  Ávila;15-19 años;Mujeres;TOTAL;2020;3.313
05  Ávila;20-24 años;Hombres;TOTAL;2020;3.680
05  Ávila;20-24 años;Mujeres;TOTAL;2020;3.471
05  Ávila;25-29 años;Hombres;TOTAL;2020;3.796
05  Ávila;25-29 años;Mujeres;TOTAL;2020;3.445
05  Ávila;30-34 años;Hombres;TOTAL;2020;4.056
05  Ávila;30-34 años;Mujeres;TOTAL;2020;3.813
05  Ávila;35-39 años;Hombres;TOTAL;2020;4.658
05  Ávila;35-39 años;Mujeres;TOTAL;2020;4.534
05  Ávila;40-44 años;Hombres;TOTAL;2020;5.841
05  Ávila;40-44 años;Mujeres;TOTAL;2020;5.534
05  Ávila;45-49 años;Hombres;TOTAL;2020;5.914
05  Ávila;45-49 años;Mujeres;TOTAL;2020;5.635
05  Ávila;50-54 años;Hombres;TOTAL;2020;6.189
05  Ávila;50-54 años;Mujeres;TOTAL;2020;6.068
05  Ávila;55-59 años;Hombres;TOTAL;2020;6.685
05  Ávila;55-59 años;Mujeres;TOTAL;2020;6.237
05  Ávila;60-64 años;Hombres;TOTAL;2020;6.024
05  Ávila;60-64 años;Mujeres;TOTAL;2020;5.258
05  Ávila;65-69 años;Hombres;TOTAL;2020;4.866
05  Ávila;65-69 años;Mujeres;TOTAL;2020;4.377
05  Ávila;70-74 años;Hombres;TOTAL;2020;4.322
05  Ávila;70-74 años;Mujeres;TOTAL;2020;4.339
05  Ávila;75-79 años;Hombres;TOTAL;2020;3.470
05  Ávila;75-79 años;Mujeres;TOTAL;2020;4.011
05  Ávila;80-84 años;Hombres;TOTAL;2020;2.717
05  Ávila;80-84 años;Mujeres;TOTAL;2020;3.496
05  Ávila;85-89 años;Hombres;TOTAL;2020;2.288
05  Ávila;85-89 años;Mujeres;TOTAL;2020;3.445
05  Ávila;90-94 años;Hombres;TOTAL;2020;995
05  Ávila;90-94 años;Mujeres;TOTAL;2020;1.861
05  Ávila;95-99 años;Hombres;TOTAL;2020;249
05  Ávila;95-99 años;Mujeres;TOTAL;2020;590
05  Ávila;100 años y más;Hombres;TOTAL;2020;28
05  Ávila;100 años y más;Mujeres;TOTAL;2020;78
06  Badajoz;0-4 años;Hombres;TOTAL;2020;14.313
06  Badajoz;0-4 años;Mujeres;TOTAL;2020;13.477
06  Badajoz;5-9 años;Hombres;TOTAL;2020;16.443
06  Badajoz;5-9 años;Mujeres;TOTAL;2020;15.589
06  Badajoz;10-14 años;Hombres;TOTAL;2020;18.077
06  Badajoz;10-14 años;Mujeres;TOTAL;2020;17.103
06  Badajoz;15-19 años;Hombres;TOTAL;2020;17.583
06  Badajoz;15-19 años;Mujeres;TOTAL;2020;16.973
06  Badajoz;20-24 años;Hombres;TOTAL;2020;18.270
06  Badajoz;20-24 años;Mujeres;TOTAL;2020;17.511
06  Badajoz;25-29 años;Hombres;TOTAL;2020;19.839
06  Badajoz;25-29 años;Mujeres;TOTAL;2020;19.037
06  Badajoz;30-34 años;Hombres;TOTAL;2020;21.119
06  Badajoz;30-34 años;Mujeres;TOTAL;2020;19.854
06  Badajoz;35-39 años;Hombres;TOTAL;2020;23.006
06  Badajoz;35-39 años;Mujeres;TOTAL;2020;22.652
06  Badajoz;40-44 años;Hombres;TOTAL;2020;25.414
06  Badajoz;40-44 años;Mujeres;TOTAL;2020;25.198
06  Badajoz;45-49 años;Hombres;TOTAL;2020;26.291
06  Badajoz;45-49 años;Mujeres;TOTAL;2020;25.691
06  Badajoz;50-54 años;Hombres;TOTAL;2020;26.499
06  Badajoz;50-54 años;Mujeres;TOTAL;2020;26.492
06  Badajoz;55-59 años;Hombres;TOTAL;2020;26.107
06  Badajoz;55-59 años;Mujeres;TOTAL;2020;25.591
06  Badajoz;60-64 años;Hombres;TOTAL;2020;21.241
06  Badajoz;60-64 años;Mujeres;TOTAL;2020;20.775
06  Badajoz;65-69 años;Hombres;TOTAL;2020;16.590
06  Badajoz;65-69 años;Mujeres;TOTAL;2020;16.766
06  Badajoz;70-74 años;Hombres;TOTAL;2020;14.368
06  Badajoz;70-74 años;Mujeres;TOTAL;2020;16.236
06  Badajoz;75-79 años;Hombres;TOTAL;2020;11.132
06  Badajoz;75-79 años;Mujeres;TOTAL;2020;14.184
06  Badajoz;80-84 años;Hombres;TOTAL;2020;7.926
06  Badajoz;80-84 años;Mujeres;TOTAL;2020;11.874
06  Badajoz;85-89 años;Hombres;TOTAL;2020;5.576
06  Badajoz;85-89 años;Mujeres;TOTAL;2020;9.713
06  Badajoz;90-94 años;Hombres;TOTAL;2020;2.021
06  Badajoz;90-94 años;Mujeres;TOTAL;2020;4.090
06  Badajoz;95-99 años;Hombres;TOTAL;2020;359
06  Badajoz;95-99 años;Mujeres;TOTAL;2020;996
06  Badajoz;100 años y más;Hombres;TOTAL;2020;30
06  Badajoz;100 años y más;Mujeres;TOTAL;2020;131
07  Balears, Illes;0-4 años;Hombres;TOTAL;2020;26.947
07  Balears, Illes;0-4 años;Mujeres;TOTAL;2020;25.512
07  Balears, Illes;5-9 años;Hombres;TOTAL;2020;30.214
07  Balears, Illes;5-9 años;Mujeres;TOTAL;2020;28.672
07  Balears, Illes;10-14 años;Hombres;TOTAL;2020;31.994
07  Balears, Illes;10-14 años;Mujeres;TOTAL;2020;30.021
07  Balears, Illes;15-19 años;Hombres;TOTAL;2020;30.221
07  Balears, Illes;15-19 años;Mujeres;TOTAL;2020;28.575
07  Balears, Illes;20-24 años;Hombres;TOTAL;2020;31.715
07  Balears, Illes;20-24 años;Mujeres;TOTAL;2020;30.532
07  Balears, Illes;25-29 años;Hombres;TOTAL;2020;37.870
07  Balears, Illes;25-29 años;Mujeres;TOTAL;2020;37.825
07  Balears, Illes;30-34 años;Hombres;TOTAL;2020;42.803
07  Balears, Illes;30-34 años;Mujeres;TOTAL;2020;42.437
07  Balears, Illes;35-39 años;Hombres;TOTAL;2020;49.346
07  Balears, Illes;35-39 años;Mujeres;TOTAL;2020;47.601
07  Balears, Illes;40-44 años;Hombres;TOTAL;2020;54.888
07  Balears, Illes;40-44 años;Mujeres;TOTAL;2020;50.718
07  Balears, Illes;45-49 años;Hombres;TOTAL;2020;52.170
07  Balears, Illes;45-49 años;Mujeres;TOTAL;2020;48.396
07  Balears, Illes;50-54 años;Hombres;TOTAL;2020;45.088
07  Balears, Illes;50-54 años;Mujeres;TOTAL;2020;43.489
07  Balears, Illes;55-59 años;Hombres;TOTAL;2020;38.357
07  Balears, Illes;55-59 años;Mujeres;TOTAL;2020;38.863
07  Balears, Illes;60-64 años;Hombres;TOTAL;2020;31.164
07  Balears, Illes;60-64 años;Mujeres;TOTAL;2020;32.901
07  Balears, Illes;65-69 años;Hombres;TOTAL;2020;25.795
07  Balears, Illes;65-69 años;Mujeres;TOTAL;2020;27.371
07  Balears, Illes;70-74 años;Hombres;TOTAL;2020;21.924
07  Balears, Illes;70-74 años;Mujeres;TOTAL;2020;24.362
07  Balears, Illes;75-79 años;Hombres;TOTAL;2020;15.501
07  Balears, Illes;75-79 años;Mujeres;TOTAL;2020;18.729
07  Balears, Illes;80-84 años;Hombres;TOTAL;2020;9.616
07  Balears, Illes;80-84 años;Mujeres;TOTAL;2020;13.847
07  Balears, Illes;85-89 años;Hombres;TOTAL;2020;6.006
07  Balears, Illes;85-89 años;Mujeres;TOTAL;2020;10.572
07  Balears, Illes;90-94 años;Hombres;TOTAL;2020;2.153
07  Balears, Illes;90-94 años;Mujeres;TOTAL;2020;5.211
07  Balears, Illes;95-99 años;Hombres;TOTAL;2020;469
07  Balears, Illes;95-99 años;Mujeres;TOTAL;2020;1.397
07  Balears, Illes;100 años y más;Hombres;TOTAL;2020;57
07  Balears, Illes;100 años y más;Mujeres;TOTAL;2020;214
08  Barcelona;0-4 años;Hombres;TOTAL;2020;127.418
08  Barcelona;0-4 años;Mujeres;TOTAL;2020;121.071
08  Barcelona;5-9 años;Hombres;TOTAL;2020;148.938
08  Barcelona;5-9 años;Mujeres;TOTAL;2020;140.077
08  Barcelona;10-14 años;Hombres;TOTAL;2020;160.979
08  Barcelona;10-14 años;Mujeres;TOTAL;2020;150.967
08  Barcelona;15-19 años;Hombres;TOTAL;2020;153.111
08  Barcelona;15-19 años;Mujeres;TOTAL;2020;141.812
08  Barcelona;20-24 años;Hombres;TOTAL;2020;151.060
08  Barcelona;20-24 años;Mujeres;TOTAL;2020;142.005
08  Barcelona;25-29 años;Hombres;TOTAL;2020;167.321
08  Barcelona;25-29 años;Mujeres;TOTAL;2020;165.612
